sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id
0,openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
1,openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
2,openproblems_neurips2023,Lapatinib,Lapatinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
3,openproblems_neurips2023,Lapatinib,Lapatinib,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
4,openproblems_neurips2023,Atorvastatin,Atorvastatin,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
5,openproblems_neurips2023,Atorvastatin,Atorvastatin,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
6,openproblems_neurips2023,Clomipramine,Clomipramine,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
7,openproblems_neurips2023,Clomipramine,Clomipramine,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
8,openproblems_neurips2023,Ixabepilone,Ixabepilone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
9,openproblems_neurips2023,Ixabepilone,Ixabepilone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
10,openproblems_neurips2023,Protriptyline,Protriptyline,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
11,openproblems_neurips2023,Protriptyline,Protriptyline,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
12,openproblems_neurips2023,Phenylbutazone,Phenylbutazone,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
13,openproblems_neurips2023,Phenylbutazone,Phenylbutazone,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
14,openproblems_neurips2023,K-02288,K-02288,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
15,openproblems_neurips2023,K-02288,K-02288,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
16,openproblems_neurips2023,BMS-777607,BMS-777607,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
17,openproblems_neurips2023,BMS-777607,BMS-777607,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
18,openproblems_neurips2023,Vorinostat,Vorinostat,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
19,openproblems_neurips2023,Vorinostat,Vorinostat,Myeloid cells,Myeloid cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
20,openproblems_neurips2023,Ruxolitinib,Ruxolitinib,B cells,B cells,PBMC,blood,not_available_in_id_map,not_available_in_id_map,24h,treated,
