perturbation,cell_line,dose_value,time,n_cells,scaffold,smiles
(+)-JQ1,A549,10.0,24.0,174,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,10.0,72.0,596,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,100.0,24.0,183,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,100.0,72.0,513,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,1000.0,24.0,218,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,1000.0,72.0,508,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,10000.0,24.0,223,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,A549,10000.0,72.0,527,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,K562,10.0,24.0,227,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,K562,100.0,24.0,204,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,K562,1000.0,24.0,161,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,K562,10000.0,24.0,144,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,MCF7,10.0,24.0,508,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,MCF7,100.0,24.0,435,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,MCF7,1000.0,24.0,585,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
(+)-JQ1,MCF7,10000.0,24.0,525,c1ccc(C2=NCc3nncn3-c3sccc32)cc1,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
2-Methoxyestradiol (2-MeOE2),A549,10.0,24.0,209,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,10.0,72.0,493,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,100.0,24.0,193,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
