split,n_train_records,n_test_records,n_excluded_records,test_drug_same_in_train_frac,test_scaffold_same_in_train_frac,test_cell_same_in_train_frac,test_drug_cell_pair_same_in_train_frac,unique_test_drug_overlap_frac,unique_test_scaffold_overlap_frac,unique_test_cell_overlap_frac,unique_test_pair_overlap_frac,n_unique_test_drugs,n_unique_test_scaffolds,n_unique_test_cells,n_unique_test_pairs,seed,dataset,n_train,n_test,n_excluded,same_drug_in_train,same_scaffold_in_train,same_cell_in_train,same_drug_cell_in_train,same_drug_overlap,same_scaffold_overlap,same_cell_line_overlap,same_drug_dose_overlap,same_drug_cell_line_dose_overlap,same_numeric_dose_overlap,split_type,model_name,status,n_heldout_moa,n_test_drugs,n_test_scaffolds,same_moa_in_train
split_random,443.0,110.0,0.0,0.9636363636363636,0.9545454545454546,1.0,0.0,0.9876543209876544,0.9875,1.0,0.0,81.0,80.0,4.0,110.0,1,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,413.0,140.0,0.0,1.0,0.9857142857142858,0.0,0.0,1.0,1.0,0.0,0.0,140.0,136.0,1.0,140.0,1,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,443.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,27.0,4.0,110.0,1,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,331.0,28.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,1.0,28.0,1,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,437.0,116.0,0.0,0.9827586206896552,0.9655172413793104,1.0,0.0,0.9878048780487804,0.9873417721518988,1.0,0.0,82.0,79.0,4.0,116.0,2,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,418.0,135.0,0.0,1.0,0.9851851851851852,0.0,0.0,1.0,1.0,0.0,0.0,135.0,131.0,1.0,135.0,2,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,443.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,27.0,4.0,110.0,2,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,335.0,27.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,1.0,27.0,2,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,440.0,113.0,0.0,1.0,0.9823008849557522,1.0,0.0,1.0,1.0,1.0,0.0,82.0,80.0,4.0,113.0,3,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,418.0,135.0,0.0,1.0,0.9851851851851852,0.0,0.0,1.0,1.0,0.0,0.0,135.0,131.0,1.0,135.0,3,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
