dataset,model_name,comparison_model,split_type,n_seeds,mean_prnet,mean_comparison,mean_difference_prnet_minus_comparison,sd_difference,ci_low,ci_high
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,cell_scaffold_heldout,10,0.0012771569776389596,0.0766474074441805,-0.07537025046654153,0.07046026820994078,-0.11703090372571555,-0.034353764374381895
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,random,10,0.016486090727864427,0.162483427207875,-0.14599733648001056,0.010737610697027996,-0.1522452078672815,-0.1397465459900271
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,scaffold_heldout,10,0.014446334105172057,0.16569063429697345,-0.1512443001918014,0.020097783247930337,-0.16308435555310527,-0.13924007333144156
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,cell_scaffold_heldout,10,0.0012771569776389596,0.059994924162384985,-0.05871776718474603,0.07034809138846274,-0.09964277108117213,-0.017433872401140558
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,random,10,0.016486090727864427,0.2909837425047135,-0.27449765177684904,0.012137949119091758,-0.2817470585166456,-0.2676955191623313
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,scaffold_heldout,10,0.014446334105172057,0.1891585014979939,-0.17471216739282186,0.023626833073877796,-0.18871280555271655,-0.1606853519923263
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,cell_scaffold_heldout,10,0.0012771569776389596,0.05786433592740724,-0.05658717894976828,0.06955131107860392,-0.09699755298195395,-0.01581844804003475
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,random,10,0.016486090727864427,0.2424943503107091,-0.22600825958284462,0.012752936204979316,-0.23357606690784324,-0.21871470736680185
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,scaffold_heldout,10,0.014446334105172057,0.1264650717098593,-0.11201873760468725,0.02121100316546623,-0.12432635749039952,-0.09938364779038772
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,cell_scaffold_heldout,10,0.0012771569776389596,0.012987307189234798,-0.011710150211595837,0.05306338437059601,-0.04079460557136977,0.021401627257454044
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,random,10,0.016486090727864427,0.23465627328416977,-0.21817018255630533,0.013983967387320159,-0.2267280757444883,-0.21052633603746734
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,scaffold_heldout,10,0.014446334105172057,0.21524399776055625,-0.20079766365538423,0.021472385861507393,-0.21316094848589703,-0.1878113202261195
