dataset,seed,split_key,split_type,model_name,mean_all_gene_pearson,mean_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement,n_train,n_val,n_test,runtime_seconds
sciplex3_24h_top2000,1,random,random,transigen_adapted_sciplex3,0.2272540823834762,0.0770602778256673,0.174364896073903,0.2037875288683602,0.2509237875288683,0.6583833718244805,0.6584757505773672,0.6565127020785219,1767,177,433,0.5380270481109619
sciplex3_24h_top2000,1,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.026296558138829,0.3322015048638312,0.0825237449118046,0.1109769335142469,0.1404748982360922,0.5233378561736771,0.5186702849389416,0.519436906377205,1463,146,737,0.1261498928070068
sciplex3_24h_top2000,1,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.1998045643567032,0.0808985190871366,0.1721658986175115,0.1991244239631336,0.2429608294930875,0.6399539170506913,0.6379493087557604,0.6335023041474654,1766,177,434,0.1419689655303955
sciplex3_24h_top2000,1,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0270159516649453,0.4519601513318492,0.0586111111111111,0.0830555555555555,0.1396527777777777,0.5294444444444445,0.532013888888889,0.5215972222222223,1173,117,144,0.0965828895568847
sciplex3_24h_top2000,2,random,random,transigen_adapted_sciplex3,0.2422152290201649,0.0817483048635413,0.1827510917030568,0.2081004366812227,0.2486899563318777,0.6811353711790393,0.6747161572052401,0.667849344978166,1742,174,458,0.1403131484985351
sciplex3_24h_top2000,2,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0146401676302094,0.1642031061398441,0.0396383866481223,0.0635187760778859,0.1117454798331015,0.5250347705146036,0.5130458970792767,0.5048678720445062,1481,148,719,0.1201212406158447
sciplex3_24h_top2000,2,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2520104281802302,0.1043484375409998,0.198586387434555,0.2190837696335078,0.2622513089005235,0.6848167539267016,0.674869109947644,0.6659554973821991,1818,182,382,0.1483850479125976
sciplex3_24h_top2000,2,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,-0.0066654242123314,0.1993046465632821,0.0678740157480315,0.0750393700787401,0.1183070866141732,0.5116535433070866,0.5045669291338583,0.4990944881889764,1226,123,127,0.0979728698730468
sciplex3_24h_top2000,3,random,random,transigen_adapted_sciplex3,0.2211810546298675,0.0795581393496175,0.1609766454352442,0.1931210191082802,0.2404989384288747,0.6608492569002123,0.6587685774946921,0.6525583864118896,1729,173,471,0.1390678882598877
sciplex3_24h_top2000,3,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0351239104094134,0.3912713241097495,0.0783588317107093,0.0898748261474269,0.1296870653685674,0.5144645340751044,0.5184700973574409,0.5295132127955494,1481,148,719,0.1273419857025146
sciplex3_24h_top2000,3,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2377703502969954,0.0905099606442828,0.1765060240963855,0.1991967871485943,0.2439056224899598,0.6771084337349398,0.6694779116465863,0.6552911646586346,1702,170,498,0.1400902271270752
sciplex3_24h_top2000,3,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0272799409668756,0.404151066931688,0.0733333333333333,0.0853086419753086,0.1280864197530864,0.528888888888889,0.5211111111111112,0.5197222222222222,1145,114,162,0.0943391323089599
sciplex3_24h_top2000,4,random,random,transigen_adapted_sciplex3,0.235035475327243,0.080103771715405,0.1663133640552995,0.1944009216589861,0.2390668202764977,0.680184331797235,0.6699308755760369,0.6606797235023042,1766,177,434,0.1421020030975341
sciplex3_24h_top2000,4,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0330861538607591,0.4961801028715539,0.0836092265943012,0.1005698778833107,0.147550881953867,0.5279240162822253,0.5259158751696066,0.5196404341926729,1463,146,737,0.1188910007476806
sciplex3_24h_top2000,4,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.2288483291711651,0.0837695223890855,0.166214953271028,0.1932242990654205,0.2386448598130841,0.6631308411214955,0.6607242990654206,0.6537850467289721,1772,177,428,0.1412079334259033
sciplex3_24h_top2000,4,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0076400956252264,0.4024940601267797,0.0671830985915492,0.104225352112676,0.1495070422535211,0.5302816901408451,0.5142957746478873,0.5051056338028168,1177,118,142,0.0952329635620117
sciplex3_24h_top2000,5,random,random,transigen_adapted_sciplex3,0.2083843563738538,0.0782207669054748,0.1562637362637362,0.1853186813186813,0.2347582417582417,0.6455384615384616,0.6455164835164836,0.6414285714285715,1745,174,455,0.1398627758026123
sciplex3_24h_top2000,5,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0173565433500528,0.4898626997871828,0.1063772048846675,0.1145725915875169,0.1690502035278154,0.5246947082767978,0.5229172320217096,0.5187344797256295,1463,146,737,0.1201200485229492
sciplex3_24h_top2000,5,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.1868884429514675,0.0787846526563607,0.1550383631713555,0.1854219948849104,0.2330562659846547,0.6152429667519181,0.6217647058823529,0.6207161125319693,1809,181,391,0.1550698280334472
sciplex3_24h_top2000,5,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,0.0176464670106936,0.3704421907589788,0.0964885496183206,0.1135877862595419,0.1466793893129771,0.5074809160305345,0.5281679389312977,0.5186259541984732,1203,120,131,0.1048121452331543
sciplex3_24h_top2000,6,random,random,transigen_adapted_sciplex3,0.2520718237872309,0.0828583694719191,0.1856057007125891,0.2089548693586698,0.2587410926365796,0.6907363420427554,0.6855106888361046,0.6735154394299289,1779,178,421,0.1514761447906494
sciplex3_24h_top2000,6,cell_heldout,cell_heldout,transigen_adapted_sciplex3,0.0023694785205773,1.17919891682254,0.0765860215053763,0.0971102150537634,0.1390524193548387,0.4862903225806452,0.502653687411752,0.5002652374777112,1456,146,744,0.1259651184082031
sciplex3_24h_top2000,6,scaffold_heldout,scaffold_heldout,transigen_adapted_sciplex3,0.1987780857933875,0.0777956455221914,0.152901554404145,0.1800259067357513,0.2270854922279792,0.6497927461139897,0.6430051813471502,0.6340932642487046,1814,181,386,0.1448550224304199
sciplex3_24h_top2000,6,cell_scaffold_heldout,cell_scaffold_heldout,transigen_adapted_sciplex3,-0.0295209896537088,1.290058355497985,0.091937984496124,0.1062015503875968,0.1391085271317829,0.4705426356589147,0.4877519379844961,0.4938372093023255,1199,120,129,0.0978069305419921
sciplex3_24h_top2000,7,random,random,transigen_adapted_sciplex3,0.2444510397802793,0.0804489882599276,0.184700460829493,0.2076728110599078,0.2531221198156682,0.6802764976958525,0.6745161290322581,0.6669700460829493,1766,177,434,0.1412649154663086
