dataset,model,model_label,quantity,split,contrast,n_seed_units,mean,ci95_low,ci95_high
openproblems_neurips2023,global_train_mean,Global mean,mean_pathway_pearson,cell_scaffold_heldout,,10,0.3202813821810226,0.2976128729785592,0.3466039418306901
openproblems_neurips2023,global_train_mean,Global mean,mean_pathway_pearson,random,,10,0.3660951108262564,0.3484836337635115,0.3850972781893333
openproblems_neurips2023,global_train_mean,Global mean,mean_pathway_pearson,scaffold_heldout,,10,0.36919989804609116,0.3302458065623557,0.408442339585714
openproblems_neurips2023,global_train_mean,Global mean,paired_difference,,random_minus_scaffold_heldout,10,-0.0031047872198347428,-0.044834222071248604,0.03337340238074109
openproblems_neurips2023,global_train_mean,Global mean,paired_difference,,random_minus_cell_scaffold_heldout,10,0.0458137286452338,0.010358497095710037,0.07815266034566185
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,mean_pathway_pearson,cell_scaffold_heldout,,10,0.20896609814644354,0.16970624532381268,0.25267741033700863
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,mean_pathway_pearson,random,,10,0.5519007185294886,0.5347340218586136,0.5690109860597581
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,mean_pathway_pearson,scaffold_heldout,,10,0.3169037357718426,0.2879983926915964,0.3450149782215279
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,paired_difference,,random_minus_scaffold_heldout,10,0.234996982757646,0.20593163473416967,0.26756020203434255
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,paired_difference,,random_minus_cell_scaffold_heldout,10,0.3429346203830451,0.29346565529021584,0.38937023100978174
sciplex3_24h_top2000,global_train_mean,Global mean,mean_pathway_pearson,cell_scaffold_heldout,,30,0.11665212903980789,0.1021220155944384,0.13210089508885553
sciplex3_24h_top2000,global_train_mean,Global mean,mean_pathway_pearson,random,,30,0.1801001329374931,0.17601621115309835,0.18416973840083095
sciplex3_24h_top2000,global_train_mean,Global mean,mean_pathway_pearson,scaffold_heldout,,30,0.18300095240783806,0.17287773035629303,0.19320726219647907
sciplex3_24h_top2000,global_train_mean,Global mean,paired_difference,,random_minus_scaffold_heldout,30,-0.0029008194703449603,-0.01252047781542084,0.006712906930456187
sciplex3_24h_top2000,global_train_mean,Global mean,paired_difference,,random_minus_cell_scaffold_heldout,30,0.06344800389768522,0.04695845509710975,0.07931716600816831
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,mean_pathway_pearson,cell_scaffold_heldout,,30,0.04733396866946241,0.02790961032029396,0.06576302883299488
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,mean_pathway_pearson,random,,30,0.046445175385392834,0.03575064589137587,0.05737058401172883
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,mean_pathway_pearson,scaffold_heldout,,30,0.03247404087356666,0.023157844898353642,0.04236442967820608
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,paired_difference,,random_minus_scaffold_heldout,30,0.013971134511826177,0.0026183750927584798,0.02555274567301336
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,paired_difference,,random_minus_cell_scaffold_heldout,30,-0.0008887932840695892,-0.019823691363665744,0.018524412844371632
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,mean_pathway_pearson,cell_scaffold_heldout,,30,0.0704552014457665,0.052469824494550524,0.08883730110267958
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,mean_pathway_pearson,random,,30,0.3131579671712628,0.30785084277922414,0.31864955067716233
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,mean_pathway_pearson,scaffold_heldout,,30,0.1873166895165924,0.17678987224046555,0.1976886490088387
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,paired_difference,,random_minus_scaffold_heldout,30,0.12584127765467043,0.11578500790657986,0.13639409770297425
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,paired_difference,,random_minus_cell_scaffold_heldout,30,0.24270276572549637,0.2229013292335323,0.2619643744215504
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,mean_pathway_pearson,cell_scaffold_heldout,,30,0.06866166757764333,0.05200289877229967,0.08593172729484858
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,mean_pathway_pearson,random,,30,0.29652952577289565,0.2912908083072365,0.3017669057820375
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,mean_pathway_pearson,scaffold_heldout,,30,0.13617233498729067,0.1254106918417341,0.14720584369218923
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,paired_difference,,random_minus_scaffold_heldout,30,0.16035719078560504,0.14976007984397274,0.17083714055789753
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,paired_difference,,random_minus_cell_scaffold_heldout,30,0.22786785819525235,0.20915099634500528,0.24574684372657243
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,mean_pathway_pearson,cell_scaffold_heldout,,30,0.027080148595201928,0.010908284170211634,0.04184776940302805
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,mean_pathway_pearson,random,,30,0.2448918168014681,0.238965636903349,0.25103168124946773
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,mean_pathway_pearson,scaffold_heldout,,30,0.22839117420449861,0.2172263738187295,0.24009829889482148
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,paired_difference,,random_minus_scaffold_heldout,30,0.016500642596969484,0.003693705474980028,0.028612201199333526
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,paired_difference,,random_minus_cell_scaffold_heldout,30,0.21781166820626616,0.20182437844479156,0.23518430953665673
