dataset,model,model_label,split,seed,n_records,n_gene_sets,mean_pathway_pearson,sd_pathway_pearson,median_pathway_pearson,iqr_pathway_pearson,mean_pathway_rmse,median_pathway_rmse,status,notes
openproblems_neurips2023,global_train_mean,Global mean,random,1,109,47,0.3521280399447737,0.3502331108913646,0.41081845192257554,0.5169397494068402,0.25249393862349323,0.19314758608310748,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,1,109,47,0.49838222248952363,0.2626380452673361,0.5269571832397585,0.3661391988430762,0.22856757485214757,0.1987215751722225,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,1,110,47,0.3035208716406868,0.3847025670326321,0.39218055766013854,0.5265036178958191,0.26386997669529777,0.200534906409894,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,1,110,47,0.2748570958922,0.37536443566336614,0.30789154005466135,0.541631131486075,0.2788509278842516,0.2201052655996742,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,1,28,47,0.2800992272526913,0.44929300656346044,0.39332566486874454,0.5978736965022676,0.3195957725428418,0.23863801898237125,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,1,28,47,0.15203512274374573,0.4407118117833498,0.2486031668378897,0.6922348164259567,0.34076008471501446,0.26642771493803874,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,2,115,47,0.3211908366309527,0.37064958977342544,0.3997390533013792,0.5339805366444837,0.24132701315224908,0.18430688610090035,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,2,115,47,0.5282644234016612,0.2754374118569816,0.6061006671783215,0.34712250028381775,0.2074174819841825,0.17430406882078014,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,2,110,47,0.47537309503237457,0.24964748935443556,0.5043542431998796,0.3051542674935782,0.22849667811314772,0.17287197352008138,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,2,110,47,0.31288629049803685,0.34575556758722287,0.34057192247151513,0.5485189805554013,0.2541738154000524,0.20396747786821096,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,2,27,47,0.3458216710593671,0.22297341117089664,0.41234003652890516,0.25035946991002245,0.3196362216387503,0.2513195781942179,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,2,27,47,0.1836273934390681,0.3028537764490826,0.1489332001958517,0.4630379548642255,0.3402509951788164,0.2761471620109266,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,3,112,47,0.42687634097229354,0.349565143778467,0.5066518207557924,0.39452952474795755,0.2569837657286081,0.2012238979779301,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,3,112,47,0.5934661211850776,0.23260505786415717,0.6321968782369876,0.3185303845447358,0.22309751733224367,0.1985159288712609,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,3,102,47,0.4580619030880456,0.3033434680521651,0.5103292890037047,0.3400906192885656,0.2783672465793661,0.20012374726466448,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,3,102,47,0.30804491996050865,0.2690665949694731,0.32921549743969963,0.4345085503387954,0.29703493191428254,0.24534344400173014,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,3,24,47,0.3136369007291624,0.3223657151825354,0.4284860509055769,0.29219552123660336,0.4406872797410856,0.3824632628894109,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,3,24,47,0.14042173542692388,0.2755912078988308,0.15622082179909533,0.32617055009952006,0.4581147368386249,0.3800209660575935,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,4,96,47,0.34414980878720475,0.37601223996498845,0.45932870789617164,0.6009849086093253,0.26837191800923854,0.2125438297801912,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,4,96,47,0.5584426034287673,0.25829136521174273,0.6303499047940647,0.3553754467597371,0.22850300735689533,0.18445431891273206,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,4,110,47,0.27545060527302256,0.3611065359449522,0.3672114125525847,0.5215095533865213,0.23906610702613076,0.1902128938429758,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,4,110,47,0.24630607759756726,0.36257558190353434,0.27623777937664645,0.542304903462927,0.26289600468404023,0.22954748060732127,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,4,28,47,0.28373748867386167,0.3579029463354782,0.38179597813080235,0.4187669582469489,0.2454038707092562,0.18640085158294686,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,4,28,47,0.2269432826652759,0.35818204990433816,0.3303930099844372,0.5491069140582342,0.26750921251632936,0.21288602219671748,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,5,114,47,0.36636545954361865,0.35373928128096505,0.4538578929252667,0.5176556945309398,0.2501788086972419,0.18867062981059607,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,5,114,47,0.5389900544717824,0.2531964272454646,0.5786441663436708,0.3621152529773614,0.22296832220371615,0.19456520897370616,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,5,112,47,0.3317727761186487,0.39849105017782355,0.4363978577042839,0.5769320535939988,0.2641648556818033,0.19815587908293866,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,5,112,47,0.3490963039190155,0.3244915631481449,0.40075159974811436,0.49530675658170875,0.27737477985697095,0.22553105593815626,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,5,28,47,0.31937636135762315,0.37350523743345665,0.36101559036991576,0.5420950179527729,0.22725748834147663,0.1822829610377878,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,5,28,47,0.25435879001059447,0.27560353633765367,0.3012237070560596,0.3820139881256774,0.2544472525435593,0.24474273123688156,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,6,102,47,0.394512772557816,0.34925674226692516,0.48407807857646523,0.3867221155201005,0.2551840764679281,0.1790141369050783,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random,6,102,47,0.5656583269394685,0.2692350883366714,0.6516716319485979,0.3001802126046101,0.2170640571026488,0.1924018041759581,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,scaffold_heldout,6,107,47,0.32536903047573595,0.3291311989415468,0.39621637375927093,0.5085011232267193,0.2406220457667289,0.19533423717567136,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,scaffold_heldout,6,107,47,0.24575547133654754,0.35848150454141703,0.2861593440789667,0.5455212563602007,0.26002526513748436,0.22049028719375888,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,cell_scaffold_heldout,6,27,47,0.33361829138098253,0.3333796110765654,0.41874617272573716,0.35270510656442344,0.2519361581937047,0.19364364530521713,completed,Reconstructed from train-only mean response vectors.
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,cell_scaffold_heldout,6,27,47,0.1667522949324336,0.33247245006182424,0.2376901035320111,0.39653219786722727,0.28163098728612246,0.22012082651769022,completed,Reconstructed with alpha=10 using train-only cell-context one-hot and Morgan fingerprints.
openproblems_neurips2023,global_train_mean,Global mean,random,7,107,47,0.3806340815004274,0.40571652479306536,0.5181064390931315,0.47286721259682324,0.27428224572295173,0.22663390430890704,completed,Reconstructed from train-only mean response vectors.
