seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
1,split_random,random,global_train_mean,1767,433,0.14936730089906577,0.119332784798676,0.0806606235323827,0.06509563821198412,,
1,split_random,random,cell_context_mean,1767,433,0.21666982147473393,0.19282687733396708,0.08024959791878736,0.06486138265579412,,
1,split_random,random,drug_mean,1767,433,0.2246557921461138,0.18336006615746872,0.08092280622976038,0.06745751400459071,,
1,split_random,random,cell_dose_mean,1767,433,0.23062305315720089,0.20585490623342345,0.08034877023844021,0.06596096930146621,,
1,split_random,random,ridge_cell_dose,1767,433,0.21389118016183292,0.19214034996635124,0.08037309025264056,0.0655880969383545,10.0,
1,split_random,random,ridge_drug_fp,1767,433,0.22794498268471647,0.18425589405402465,0.08016390393294402,0.06692800669716692,10.0,1024.0
1,split_random,random,ridge_cell_dose_drug_fp,1767,433,0.2784111690558094,0.23677723089137986,0.07917306816888188,0.06657537945903812,10.0,1024.0
1,split_cell_heldout,cell_heldout,global_train_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
1,split_cell_heldout,cell_heldout,cell_context_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
1,split_cell_heldout,cell_heldout,drug_mean,1463,737,0.1501872246610215,0.1198777509882804,0.09440988754424856,0.07542853312342089,,
1,split_cell_heldout,cell_heldout,cell_dose_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
1,split_cell_heldout,cell_heldout,ridge_cell_dose,1463,737,0.08615650990795828,0.05916994684760455,0.09243476356930533,0.0719811675239751,10.0,
1,split_cell_heldout,cell_heldout,ridge_drug_fp,1463,737,0.15147595994049529,0.12178679810575663,0.09369709435166919,0.07491952778693362,10.0,1024.0
1,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1463,737,0.14894606990395184,0.11511369104167447,0.09401522726318934,0.0755775155049565,10.0,1024.0
1,split_scaffold_heldout,scaffold_heldout,global_train_mean,1766,434,0.1508118104090968,0.12029018313103437,0.08078401492193904,0.06551772487373411,,
1,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1766,434,0.21585479203293595,0.1971123797748352,0.08042328690468463,0.06577955513041649,,
1,split_scaffold_heldout,scaffold_heldout,drug_mean,1766,434,0.1508118104090968,0.12029018313103437,0.08078401492193904,0.06551772487373411,,
1,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1766,434,0.2411323846179913,0.2267063351098554,0.07982024374477287,0.06613951203474022,,
1,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1766,434,0.21761519912802396,0.19704505282033857,0.08017043525492006,0.06638940799655596,10.0,
1,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1766,434,0.10725241642137416,0.08805426042260922,0.08665830514358207,0.07155763033110002,10.0,1024.0
1,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1766,434,0.1665789917518298,0.14266194147614797,0.08598830158571096,0.07230121133017607,10.0,1024.0
1,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1173,144,0.08246605919579879,0.06506023677375002,0.08813225135263258,0.07105361637090464,,
1,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1173,144,0.08246605919579879,0.06506023677375002,0.08813225135263258,0.07105361637090464,,
1,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1173,144,0.08246605919579879,0.06506023677375002,0.08813225135263258,0.07105361637090464,,
1,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1173,144,0.08246605919579879,0.06506023677375002,0.08813225135263258,0.07105361637090464,,
1,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1173,144,0.07919046117797102,0.06002972092651843,0.08818855387061207,0.07182331288408911,10.0,
1,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1173,144,0.05792106360175194,0.03596103163190531,0.09504294949091438,0.07827245404716444,10.0,1024.0
1,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1173,144,0.06091521956744455,0.03500131999983318,0.09528463815068272,0.07876534847351588,10.0,1024.0
2,split_random,random,global_train_mean,1742,458,0.17382310415547242,0.14285840597655103,0.08576047768335633,0.06570900788919454,,
2,split_random,random,cell_context_mean,1742,458,0.24701559410207585,0.21918605122921653,0.0848340366638125,0.06551194645188364,,
2,split_random,random,drug_mean,1742,458,0.24802350784270627,0.21798505105245303,0.08471280017859434,0.06711286884078355,,
2,split_random,random,cell_dose_mean,1742,458,0.2651810433033255,0.2401349320094729,0.08408188206709816,0.06638649881237707,,
2,split_random,random,ridge_cell_dose,1742,458,0.24712571222849358,0.21805398855588526,0.08455133027366307,0.06573969390239545,10.0,
2,split_random,random,ridge_drug_fp,1742,458,0.25199338018155054,0.21621989353792948,0.08397486209496278,0.06676850630470654,10.0,1024.0
2,split_random,random,ridge_cell_dose_drug_fp,1742,458,0.3047577866771951,0.2672271001688865,0.08258278046312427,0.06695242349355437,10.0,1024.0
2,split_cell_heldout,cell_heldout,global_train_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
2,split_cell_heldout,cell_heldout,cell_context_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
2,split_cell_heldout,cell_heldout,drug_mean,1481,719,0.10190414181444919,0.08841927720692735,0.08771230731469451,0.07188100130721489,,
2,split_cell_heldout,cell_heldout,cell_dose_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
2,split_cell_heldout,cell_heldout,ridge_cell_dose,1481,719,0.043421676365373654,0.03104734425928927,0.08268071117496488,0.0681838388041165,10.0,
2,split_cell_heldout,cell_heldout,ridge_drug_fp,1481,719,0.10094883192315401,0.08474280767086328,0.08686794269147144,0.07101575986819839,10.0,1024.0
2,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1481,719,0.09716253706120354,0.0776014453294125,0.08734978207395894,0.07197951587577449,10.0,1024.0
2,split_scaffold_heldout,scaffold_heldout,global_train_mean,1818,382,0.2102948372365491,0.1881439939300511,0.10568620470278095,0.074508191701826,,
2,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1818,382,0.2821268140884756,0.2663559549909854,0.1043172577295055,0.07438708540207353,,
2,split_scaffold_heldout,scaffold_heldout,drug_mean,1818,382,0.2102948372365491,0.1881439939300511,0.10568620470278095,0.074508191701826,,
2,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1818,382,0.2943144778783778,0.26923550339491176,0.1036859545695354,0.07450523807835055,,
2,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1818,382,0.2800232073842754,0.2571459675333476,0.10407611277283457,0.07462800178671306,10.0,
2,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1818,382,0.16414741292860321,0.12642283420540404,0.10768127514888977,0.07956561800065415,10.0,1024.0
2,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1818,382,0.2322157386275081,0.1936407138210699,0.10604436962984358,0.07985974396068984,10.0,1024.0
2,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1226,127,0.06158947220229148,0.034017613649320766,0.09941977838528789,0.07519919487472948,,
2,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1226,127,0.06158947220229148,0.034017613649320766,0.09941977838528789,0.07519919487472948,,
2,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1226,127,0.06158947220229148,0.034017613649320766,0.09941977838528789,0.07519919487472948,,
2,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1226,127,0.06158947220229148,0.034017613649320766,0.09941977838528789,0.07519919487472948,,
2,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1226,127,0.05374574181048804,0.024077926404355264,0.09977540420131117,0.0766889014853777,10.0,
