seed,split,mean_max_train_tanimoto,n_test
1,split_random,1.0,433
1,split_cell_heldout,1.0,737
1,split_scaffold_heldout,0.28279623636749296,434
1,split_cell_scaffold_heldout,0.28404496228453857,144
2,split_random,1.0,458
2,split_cell_heldout,0.9954993670984982,719
2,split_scaffold_heldout,0.3002491256186507,382
2,split_cell_scaffold_heldout,0.2973006019630005,127
3,split_random,1.0,471
3,split_cell_heldout,0.9954993670984982,719
3,split_scaffold_heldout,0.29672840085937086,498
3,split_cell_scaffold_heldout,0.2951447724776907,162
4,split_random,1.0,434
4,split_cell_heldout,1.0,737
4,split_scaffold_heldout,0.31078516385345395,428
4,split_cell_scaffold_heldout,0.31109198469129223,142
5,split_random,1.0,455
5,split_cell_heldout,1.0,737
5,split_scaffold_heldout,0.29773832075695383,391
5,split_cell_scaffold_heldout,0.29825259768887236,131
6,split_random,1.0,421
6,split_cell_heldout,1.0,744
6,split_scaffold_heldout,0.3279675862079123,386
6,split_cell_scaffold_heldout,0.3360243699585605,129
7,split_random,1.0,434
7,split_cell_heldout,1.0,744
7,split_scaffold_heldout,0.3143275219055932,446
7,split_cell_scaffold_heldout,0.31332236088701526,151
8,split_random,1.0,404
8,split_cell_heldout,0.9954993670984982,719
8,split_scaffold_heldout,0.3091889312274104,419
8,split_cell_scaffold_heldout,0.31382330968642247,134
9,split_random,1.0,407
9,split_cell_heldout,1.0,737
9,split_scaffold_heldout,0.34400034680505653,421
9,split_cell_scaffold_heldout,0.3424883835313744,144
10,split_random,1.0,445
10,split_cell_heldout,0.9954993670984982,719
10,split_scaffold_heldout,0.3403307892680279,390
10,split_cell_scaffold_heldout,0.3388212017426572,128
11,split_random,1.0,450
11,split_cell_heldout,1.0,737
11,split_scaffold_heldout,0.3090827567746145,412
11,split_cell_scaffold_heldout,0.3086483801168646,139
12,split_random,1.0,440
12,split_cell_heldout,0.9954993670984982,719
12,split_scaffold_heldout,0.27553242885612556,421
12,split_cell_scaffold_heldout,0.2788216975617881,136
13,split_random,1.0,439
13,split_cell_heldout,1.0,737
13,split_scaffold_heldout,0.34022758057123303,440
13,split_cell_scaffold_heldout,0.34080853581785336,147
14,split_random,1.0,457
14,split_cell_heldout,1.0,744
14,split_scaffold_heldout,0.3218599608934493,521
14,split_cell_scaffold_heldout,0.32218010043944273,176
15,split_random,1.0,429
15,split_cell_heldout,0.9954993670984982,719
15,split_scaffold_heldout,0.31551759366017323,484
15,split_cell_scaffold_heldout,0.3145596650950672,156
16,split_random,1.0,436
16,split_cell_heldout,0.9954993670984982,719
16,split_scaffold_heldout,0.30369775141994587,414
16,split_cell_scaffold_heldout,0.30151658881816606,137
17,split_random,1.0,441
17,split_cell_heldout,0.9954993670984982,719
17,split_scaffold_heldout,0.3250781349513425,433
17,split_cell_scaffold_heldout,0.3232080484698533,140
18,split_random,1.0,450
18,split_cell_heldout,1.0,737
18,split_scaffold_heldout,0.3225178603337008,508
18,split_cell_scaffold_heldout,0.3226944221943749,172
19,split_random,1.0,450
19,split_cell_heldout,1.0,737
19,split_scaffold_heldout,0.31165637589982464,439
19,split_cell_scaffold_heldout,0.31293982870459297,145
20,split_random,1.0,450
20,split_cell_heldout,1.0,737
20,split_scaffold_heldout,0.33144991201669405,425
20,split_cell_scaffold_heldout,0.33150433509476307,143
21,split_random,1.0,436
21,split_cell_heldout,1.0,744
21,split_scaffold_heldout,0.3232102696810857,403
21,split_cell_scaffold_heldout,0.32004831194467065,138
22,split_random,1.0,456
22,split_cell_heldout,0.9954993670984982,719
22,split_scaffold_heldout,0.28572120775312054,437
22,split_cell_scaffold_heldout,0.2861478941189336,143
23,split_random,1.0,417
23,split_cell_heldout,1.0,737
23,split_scaffold_heldout,0.3113871722634,410
23,split_cell_scaffold_heldout,0.313456690703367,136
24,split_random,1.0,437
24,split_cell_heldout,1.0,744
24,split_scaffold_heldout,0.322747933503302,399
24,split_cell_scaffold_heldout,0.33020157782045345,134
25,split_random,1.0,449
25,split_cell_heldout,0.9954993670984982,719
25,split_scaffold_heldout,0.3174168589971651,401
25,split_cell_scaffold_heldout,0.31274985565753655,132
26,split_random,1.0,431
26,split_cell_heldout,1.0,744
26,split_scaffold_heldout,0.2898575749419569,414
26,split_cell_scaffold_heldout,0.29059580861556633,139
27,split_random,1.0,440
27,split_cell_heldout,0.9954993670984982,719
27,split_scaffold_heldout,0.2848785038377265,398
27,split_cell_scaffold_heldout,0.27936840965331317,131
28,split_random,1.0,433
28,split_cell_heldout,0.9954993670984982,719
28,split_scaffold_heldout,0.3308598583158644,404
28,split_cell_scaffold_heldout,0.32583367994785994,137
29,split_random,1.0,406
29,split_cell_heldout,1.0,737
29,split_scaffold_heldout,0.32577161887787115,419
29,split_cell_scaffold_heldout,0.3256406937334676,140
30,split_random,1.0,415
30,split_cell_heldout,1.0,737
30,split_scaffold_heldout,0.3085009559925997,435
30,split_cell_scaffold_heldout,0.3087922945495164,145
