seed,comparison_split,spearman_rank_correlation,n_baselines
1,split_cell_heldout,0.5188745216627708,7
1,split_cell_scaffold_heldout,-0.39405520311955033,7
1,split_scaffold_heldout,0.09009374626955591,7
2,split_cell_heldout,0.4076871241636057,7
2,split_cell_scaffold_heldout,-0.571380044523348,7
2,split_scaffold_heldout,0.09009374626955591,7
3,split_cell_heldout,0.48181205582971587,7
3,split_cell_scaffold_heldout,-0.39405520311955033,7
3,split_scaffold_heldout,0.12613124477737825,7
4,split_cell_heldout,0.5188745216627708,7
4,split_cell_scaffold_heldout,-0.39405520311955033,7
4,split_scaffold_heldout,0.12613124477737825,7
5,split_cell_heldout,0.5188745216627708,7
5,split_cell_scaffold_heldout,0.7092993656151907,7
5,split_scaffold_heldout,0.09009374626955591,7
6,split_cell_heldout,0.630061919161936,7
6,split_cell_scaffold_heldout,-0.49256900389943786,7
6,split_scaffold_heldout,0.09009374626955591,7
7,split_cell_heldout,0.7412493166611013,7
7,split_cell_scaffold_heldout,-0.6698938453032356,7
7,split_scaffold_heldout,-0.12613124477737825,7
8,split_cell_heldout,0.11118739749916519,7
8,split_cell_scaffold_heldout,-0.49256900389943786,7
8,split_scaffold_heldout,0.34235623582431246,7
9,split_cell_heldout,0.44474958999666075,7
9,split_cell_scaffold_heldout,-0.49256900389943786,7
9,split_scaffold_heldout,0.12613124477737825,7
10,split_cell_heldout,0.48181205582971587,7
10,split_cell_scaffold_heldout,-0.4728662437434604,7
10,split_scaffold_heldout,0.12613124477737825,7
11,split_cell_heldout,0.5188745216627708,7
11,split_cell_scaffold_heldout,-0.4728662437434604,7
11,split_scaffold_heldout,0.12613124477737825,7
12,split_cell_heldout,0.4076871241636057,7
12,split_cell_scaffold_heldout,-0.49256900389943786,7
12,split_scaffold_heldout,0.09009374626955591,7
13,split_cell_heldout,0.5188745216627708,7
13,split_cell_scaffold_heldout,-0.39405520311955033,7
13,split_scaffold_heldout,0.09009374626955591,7
14,split_cell_heldout,0.7041868508280462,7
14,split_cell_scaffold_heldout,-0.6304883249912805,7
14,split_scaffold_heldout,0.09009374626955591,7
15,split_cell_heldout,0.5929994533288809,7
15,split_cell_scaffold_heldout,-0.571380044523348,7
15,split_scaffold_heldout,-0.09009374626955591,7
16,split_cell_heldout,0.7412493166611013,7
16,split_cell_scaffold_heldout,-0.25613588202770776,7
16,split_scaffold_heldout,-0.2522624895547565,7
17,split_cell_heldout,0.7412493166611013,7
17,split_cell_scaffold_heldout,-0.21673036171575272,7
17,split_scaffold_heldout,-0.2882999880625789,7
18,split_cell_heldout,0.44474958999666075,7
18,split_cell_scaffold_heldout,-0.49256900389943786,7
18,split_scaffold_heldout,0.12613124477737825,7
19,split_cell_heldout,0.5929994533288809,7
19,split_cell_scaffold_heldout,-0.6698938453032356,7
19,split_scaffold_heldout,-0.12613124477737825,7
20,split_cell_heldout,0.5188745216627708,7
20,split_cell_scaffold_heldout,-0.39405520311955033,7
20,split_scaffold_heldout,0.09009374626955591,7
21,split_cell_heldout,0.4076871241636057,7
21,split_cell_scaffold_heldout,-0.5910828046793255,7
21,split_scaffold_heldout,0.30631873731649006,7
22,split_cell_heldout,0.4076871241636057,7
22,split_cell_scaffold_heldout,-0.571380044523348,7
22,split_scaffold_heldout,0.09009374626955591,7
23,split_cell_heldout,0.14824986333222023,7
23,split_cell_scaffold_heldout,-0.5910828046793255,7
23,split_scaffold_heldout,0.34235623582431246,7
24,split_cell_heldout,0.7041868508280462,7
24,split_cell_scaffold_heldout,-0.39405520311955033,7
24,split_scaffold_heldout,0.12613124477737825,7
25,split_cell_heldout,0.7412493166611013,7
25,split_cell_scaffold_heldout,-0.25613588202770776,7
25,split_scaffold_heldout,-0.2882999880625789,7
26,split_cell_heldout,0.7041868508280462,7
26,split_cell_scaffold_heldout,-0.39405520311955033,7
26,split_scaffold_heldout,0.12613124477737825,7
27,split_cell_heldout,0.7412493166611013,7
27,split_cell_scaffold_heldout,-0.610785564835303,7
27,split_scaffold_heldout,-0.2522624895547565,7
28,split_cell_heldout,0.5929994533288809,7
28,split_cell_scaffold_heldout,-0.571380044523348,7
28,split_scaffold_heldout,-0.12613124477737825,7
29,split_cell_heldout,0.5188745216627708,7
29,split_cell_scaffold_heldout,-0.39405520311955033,7
29,split_scaffold_heldout,0.12613124477737825,7
30,split_cell_heldout,0.5188745216627708,7
30,split_cell_scaffold_heldout,-0.39405520311955033,7
30,split_scaffold_heldout,0.12613124477737825,7
